TIME,CH2,CH2 Peak Detect
-1.00E+01,-0.04,0.04
-1.00E+01,-0.04,-0.08
-1.00E+01,-0.04,0.04
-1.00E+01,-0.04,-0.08
-1.00E+01,-0.04,0.04
-1.00E+01,-0.04,-0.08
-1.00E+01,-0.04,0.04
-1.00E+01,-0.04,-0.08
-1.00E+01,-0.04,0.04
-1.00E+01,-0.04,-0.08
-1.00E+01,-0.04,0.04
-1.00E+01,-0.04,-0.08
-1.00E+01,-1.79E-09,0.04
-1.00E+01,-0.04,-0.08
-1.00E+01,-0.04,0.04
-1.00E+01,-0.04,-0.08
-1.00E+01,-0.04,0.04
-1.00E+01,-0.04,-0.08
-1.00E+01,-0.04,0.04
-1.00E+01,-0.04,-0.08
-1.00E+01,-0.04,0.04
-1.00E+01,-0.04,-0.12
-1.00E+01,-0.04,0.04
-1.00E+01,-0.08,-0.08
-1.00E+01,-0.04,0.04
-1.00E+01,-0.04,-0.08
-1.00E+01,-0.04,0.04
-1.00E+01,-0.04,-0.08
-1.00E+01,-0.04,0.04
-1.00E+01,-0.04,-0.08
-1.00E+01,-0.04,0.04
-1.00E+01,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.08,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.08,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-1.79E-09,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.12
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.12
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.12
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.04,0.04
-9.99E+00,-0.04,-0.08
-9.99E+00,-0.08,0.04
-9.98E+00,-0.04,-0.08
-9.98E+00,-0.04,0.04
-9.98E+00,-0.04,-0.08
-9.98E+00,-0.04,0.04
-9.98E+00,-0.04,-0.08
