Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N),rᵧ (m)
0.009999999776482582,-0.10439828783273697,-8.51217269897461,-4.959469795227051,-0.0037855200935155153,0
0.019999999552965164,-0.11190453916788101,-8.533655166625977,-4.850999355316162,-0.0037855198606848717,0
0.029999999329447746,-0.09262103587388992,-8.548722267150879,-4.767171859741211,-0.0037855200935155153,0
0.03999999910593033,-0.10410105437040329,-8.533957481384277,-4.735814571380615,-0.0037855200935155153,0
0.05000000074505806,-0.12293870747089386,-8.514734268188477,-4.823069095611572,-0.0037855200935155153,0
0.05999999865889549,-0.08722513169050217,-8.523168563842773,-4.903921127319336,-0.0037855200935155153,0
0.07000000029802322,-0.08742862194776535,-8.544021606445312,-4.896764278411865,-0.00372250284999609,0
0.07999999821186066,-0.09932476282119751,-8.525341987609863,-4.814268589019775,0.0056130727753043175,0
0.09000000357627869,-0.06983934342861176,-8.522388458251953,-4.757483005523682,-0.0037855200935155153,0
0.10000000149011612,-0.08728000521659851,-8.549078941345215,-4.748483180999756,-0.0037855200935155153,0
0.10999999940395355,-0.078529953956604,-8.554866790771484,-4.823938846588135,-0.0037855200935155153,0
0.11999999731779099,-0.09638673812150955,-8.53390121459961,-4.86663818359375,-0.0037855200935155153,0
0.12999999523162842,-0.06930432468652725,-8.535673141479492,-4.871667861938477,-0.0037855198606848717,0
0.14000000059604645,-0.1253371387720108,-8.534802436828613,-4.79887056350708,-0.0037855200935155153,0
0.15000000596046448,-0.10903052985668182,-8.52425479888916,-4.761513710021973,-0.0037855200935155153,0
0.1599999964237213,-0.10454690456390381,-8.52425479888916,-4.773871898651123,-0.0037855200935155153,0
0.17000000178813934,-0.09594546258449554,-8.534405708312988,-4.864604473114014,-0.0037855200935155153,0
0.18000000715255737,-0.09980033338069916,-8.52441120147705,-4.9083476066589355,-0.0037855198606848717,0
0.1899999976158142,-0.11068588495254517,-8.533620834350586,-4.865184307098389,-0.0037855200935155153,0
0.20000000298023224,-0.08589216321706772,-8.522272109985352,-4.780096054077148,-0.0037855200935155153,0
0.20999999344348907,-0.08013501018285751,-8.506123542785645,-4.774504661560059,-0.0037855200935155153,0
0.2199999988079071,-0.08163716644048691,-8.530692100524902,-4.799023151397705,-0.0037855200935155153,0
0.23000000417232513,-0.07336726039648056,-8.530485153198242,-4.842391014099121,-0.0037855200935155153,0
0.23999999463558197,-0.0812896341085434,-8.545475006103516,-4.820851802825928,-0.0037855198606848717,0
0.25,-0.10074690729379654,-8.529684066772461,-4.766531944274902,-0.0037855200935155153,0
0.25999999046325684,-0.10234281420707703,-8.52373218536377,-4.7709126472473145,-0.0037855200935155153,0
0.27000001072883606,-0.10360033065080643,-8.52332878112793,-4.827859878540039,-0.0037855200935155153,0
0.2800000011920929,-0.1005777046084404,-8.536297798156738,-4.90021276473999,-0.0035334506537765265,0
0.28999999165534973,-0.08793848752975464,-8.541374206542969,-4.884531497955322,0.005424020811915398,0
0.30000001192092896,-0.08571381866931915,-8.537932395935059,-4.839946746826172,-0.0037855200935155153,0
0.3100000023841858,-0.08000238984823227,-8.518145561218262,-4.778131484985352,-0.0035064429976046085,0
0.3199999928474426,-0.09686688333749771,-8.516454696655273,-4.795199394226074,0.005397013388574123,0
0.33000001311302185,-0.07579998672008514,-8.532015800476074,-4.857051849365234,0.005379008129239082,0
0.3400000035762787,-0.08819685876369476,-8.538640975952148,-4.865993976593018,-0.012950047850608826,0
0.3499999940395355,-0.09528698027133942,-8.53192138671875,-4.826705455780029,-0.0037855200935155153,0
0.36000001430511475,-0.08797735720872879,-8.539003372192383,-4.762854099273682,-0.0037855200935155153,0
0.3700000047683716,-0.07389312982559204,-8.540872573852539,-4.7431960105896,-0.0037855200935155153,0
0.3799999952316284,-0.10333282500505447,-8.533543586730957,-4.774291515350342,-0.0037855200935155153,0
0.38999998569488525,-0.09643703699111938,-8.514002799987793,-4.894064903259277,-0.0037855200935155153,0
0.4000000059604645,-0.09598889946937561,-8.508696556091309,-4.928829193115234,-0.0037855198606848717,0
0.4099999964237213,-0.09383054822683334,-8.48302936553955,-4.838165760040283,-0.0037855200935155153,0
0.41999998688697815,-0.07748735696077347,-8.416849136352539,-4.751344680786133,-0.0037855200935155153,0
0.4300000071525574,0.08286477625370026,-8.302956581115723,-4.7418718338012695,-0.0037855200935155153,0
0.4399999976158142,0.30629870295524597,-8.196548461914062,-4.829998016357422,-0.0037855200935155153,0
0.44999998807907104,0.34116172790527344,-8.223437309265137,-4.912329196929932,-0.0037855198606848717,-4.440892412829259e-18
0.46000000834465027,0.23639199137687683,-8.283162117004395,-4.912646770477295,-0.0037855200935155153,-0.00020000000949949026
0.4699999988079071,0.1394234597682953,-8.323495864868164,-4.825483322143555,-0.004208636935800314,-0.0004000000189989805
0.47999998927116394,0.052396200597286224,-8.452705383300781,-4.762211799621582,-0.012824012897908688,-0.0006000000284984708
0.49000000953674316,-0.17353446781635284,-8.570326805114746,-4.794003009796143,-0.0037855200935155153,-0.000800000037997961
0.5,-0.33832448720932007,-8.626052856445312,-4.8566131591796875,-0.004235644359141588,-0.0010000000474974513
0.5099999904632568,-0.8490378260612488,-8.478254318237305,-4.8272013664245605,-0.013256131671369076,-0.0010000000474974513
0.5199999809265137,-0.6172310709953308,-8.285176277160645,-4.921503067016602,-0.02271774224936962,-0.0010000000474974513
0.5299999713897705,-0.32856154441833496,-8.027966499328613,-4.8556227684021,-0.02271774224936962,-0.0010000000474974513
