Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N)
0.004999999888241291,0.028956059366464615,-9.812348365783691,0.05704650655388832,0.0004506571567617357
0.009999999776482582,0.012103868648409843,-9.80734920501709,0.026787612587213516,0.0004506571567617357
0.014999999664723873,0.020604854449629784,-9.82693099975586,0.03960612416267395,0.0004506571567617357
0.019999999552965164,0.039125796407461166,-9.820151329040527,0.0556168407201767,0.005184871610254049
0.02500000037252903,-0.007735293358564377,-9.818886756896973,0.024058116599917412,0.005184871610254049
0.029999999329447746,0.031450171023607254,-9.825840950012207,0.03315431624650955,0.005157059524208307
0.03500000014901161,0.029569491744041443,-9.80704402923584,0.047116968780756,0.005212683230638504
0.03999999910593033,0.02077639475464821,-9.80585765838623,0.043317101895809174,0.0051477886736392975
0.04500000178813934,0.013108217157423496,-9.813186645507812,0.026102405041456223,0.009956168942153454
0.05000000074505806,0.021010082215070724,-9.790206909179688,0.031128322705626488,0.0004506571567617357
0.054999999701976776,0.0349082425236702,-9.79460620880127,0.018480613827705383,0.0004506571567617357
0.05999999865889549,0.020801881328225136,-9.816516876220703,0.03976500406861305,0.0004506571567617357
0.06499999761581421,0.01646747998893261,-9.823845863342285,0.018210189417004585,0.005184871610254049
0.07000000029802322,0.020612303167581558,-9.805638313293457,0.024769172072410583,0.005119977053254843
0.07500000298023224,0.020980872213840485,-9.820804595947266,0.014750744216144085,0.0005155517137609422
0.07999999821186066,0.029164262115955353,-9.811409950256348,0.02893967367708683,0.0004506571567617357
0.08500000089406967,0.029277382418513298,-9.785266876220703,0.01282496564090252,0.0004506571567617357
0.09000000357627869,0.03528425469994545,-9.806636810302734,0.03546147421002388,0.0004506571567617357
0.0949999988079071,0.02881372906267643,-9.78596019744873,0.07052437961101532,0.0004506571567617357
0.10000000149011612,0.02616984210908413,-9.797739028930664,0.049076147377491,0.0004506571567617357
0.10499999672174454,0.008795577101409435,-9.782459259033203,0.041994608938694,0.0004506571567617357
0.10999999940395355,0.03394055366516113,-9.782158851623535,0.031328752636909485,0.005082894116640091
0.11500000208616257,0.033823706209659576,-9.820277214050293,0.05543529614806175,0.0005526343593373895
0.11999999731779099,0.020794430747628212,-9.803861618041992,0.059876225888729095,0.0004506571567617357
0.125,0.024453843012452126,-9.79179573059082,0.059268563985824585,0.0004506571567617357
0.12999999523162842,0.01734008640050888,-9.80134391784668,0.055398713797330856,0.009798566810786724
0.13500000536441803,0.03257136046886444,-9.803306579589844,0.044361621141433716,0.005180235952138901
0.14000000059604645,0.02555641159415245,-9.79275131225586,0.05922700837254524,0.0005758110200986266
0.14499999582767487,0.009722879156470299,-9.818668365478516,0.07328788191080093,0.00978466123342514
0.15000000596046448,0.028174815699458122,-9.841054916381836,0.052083030343055725,0.0005850816378369927
0.1550000011920929,0.0276452898979187,-9.819408416748047,0.06610175222158432,0.0004506571567617357
0.1599999964237213,0.048693276941776276,-9.800628662109375,0.057199619710445404,0.0004506571567617357
0.16500000655651093,0.041177425533533096,-9.815152168273926,0.08888262510299683,0.0004506571567617357
0.17000000178813934,0.049054987728595734,-9.798324584960938,0.06831684708595276,0.0004506571567617357
0.17499999701976776,0.03738313913345337,-9.811009407043457,0.09269759804010391,0.0004506571567617357
0.18000000715255737,0.02762666717171669,-9.791179656982422,0.08105343580245972,0.0004506571567617357
0.1850000023841858,0.031169233843684196,-9.837671279907227,0.07557296007871628,0.0004506571567617357
0.1899999976158142,0.03198714181780815,-9.78606128692627,0.10675608366727829,-0.004283557180315256
0.19499999284744263,0.047309186309576035,-9.822057723999023,0.043769072741270065,0.0002698793541640043
0.20000000298023224,0.0334906242787838,-9.83183479309082,0.061660826206207275,0.0006314349011518061
0.20499999821186066,0.02810894139111042,-9.838754653930664,0.05962469056248665,0.0004506571567617357
0.20999999344348907,0.014911847189068794,-9.834074020385742,0.06932736188173294,0.0004506571567617357
0.2150000035762787,0.05745774880051613,-9.807785034179688,0.04414985328912735,-0.004283557180315256
0.2199999988079071,0.01247243769466877,-9.821146965026855,0.06043218448758125,0.00498091708868742
0.22499999403953552,0.012932362966239452,-9.822042465209961,0.06645409762859344,0.005180235952138901
0.23000000417232513,0.0313035249710083,-9.84540843963623,0.06615345180034637,0.0006592468707822263
0.23499999940395355,0.02650606445968151,-9.842611312866211,0.05246559903025627,0.0004506571567617357
0.23999999463558197,0.03153466805815697,-9.829253196716309,0.0606459379196167,0.005184871144592762
0.24500000476837158,0.00786337535828352,-9.821464538574219,0.05089157074689865,0.0004506571567617357
0.25,0.030658923089504242,-9.828332901000977,0.05056069791316986,0.0004506571567617357
0.2549999952316284,0.007881411351263523,-9.843524932861328,0.041091274470090866,0.0004506571567617357
0.25999999046325684,0.014996345154941082,-9.823043823242188,0.029631244018673897,0.0004506571567617357
0.26499998569488525,0.018527736887335777,-9.843131065368652,0.03271428123116493,0.00045065718586556613
0.27000001072883606,0.029683196917176247,-9.827754974365234,0.039402514696121216,0.004934563767164946
0.2750000059604645,0.019041184335947037,-9.83945083618164,0.03529007360339165,0.0007009648252278566
0.2800000011920929,0.007725357543677092,-9.816197395324707,0.035511184483766556,0.004925293382257223
0.2849999964237213,0.033129505813121796,-9.836342811584473,0.04941020533442497,0.0007102355011738837
0.28999999165534973,0.011834108270704746,-9.826486587524414,0.050460487604141235,0.0004506571567617357
0.29499998688697815,0.021054193377494812,-9.838013648986816,0.01772421970963478,0.0004506571567617357
0.30000001192092896,0.030844777822494507,-9.818170547485352,0.03594048321247101,0.009640966542065144
