Time (s),Voltage (mV),Voltage (V),Voltage (V)
0.009999999776482582,0.007587571628391743,0,0
0.019999999552965164,0.007326165214180946,0,0
0.029999999329447746,0.007587256375700235,0,0
0.03999999910593033,0.007588202133774757,0,0
0.05000000074505806,0.00758772948756814,0,0
0.05999999865889549,0.007848505862057209,0,0
0.07000000029802322,0.007588675245642662,0,0
0.07999999821186066,0.007848190143704414,0,0
0.09000000357627869,0.007587571628391743,0,0
0.10000000149011612,0.007849293760955334,0,0
0.10999999940395355,0.007849293760955334,0,0
0.11999999731779099,0.007849293760955334,0,0
0.12999999523162842,0.007849293760955334,0,0
0.14000000059604645,0.00732805673032999,0,0
0.15000000596046448,0.007585364859551191,0,0
0.1599999964237213,0.007328371983021498,0,0
0.17000000178813934,0.007846771739423275,0,0
0.18000000715255737,0.007849293760955334,0,0
0.1899999976158142,0.007849293760955334,0,0
0.20000000298023224,0.007849293760955334,0,0
0.20999999344348907,0.007587571628391743,0,0
0.2199999988079071,0.007587571628391743,0,0
0.23000000417232513,0.00732947513461113,0,0
0.23999999463558197,0.007583945989608765,0,0
0.25,0.007329790387302637,0,0
0.25999999046325684,0.007326007355004549,0,0
0.27000001072883606,0.007583473343402147,0,0
0.2800000011920929,0.007330263499170542,0,0
0.28999999165534973,0.00758315809071064,0,0
0.30000001192092896,0.007330578751862049,0,0
0.3100000023841858,0.007326007355004549,0,0
0.3199999928474426,0.007326007355004549,0,0
0.33000001311302185,0.007582527585327625,0,0
0.3400000035762787,0.007592931389808655,0,0
0.3499999940395355,0.007582212332636118,0,0
0.36000001430511475,0.007593246642500162,0,0
0.3700000047683716,0.007843619212508202,0,0
0.3799999952316284,0.0073318397626280785,0,0
0.38999998569488525,0.007843303494155407,0,0
0.4000000059604645,0.007849293760955334,0,0
0.4099999964237213,0.007332312408834696,0,0
0.41999998688697815,0.007842830382287502,0,0
0.4300000071525574,0.0073326281271874905,0,0
0.4399999976158142,0.007587729021906853,0,0
0.44999998807907104,0.007326007355004549,0,0
0.46000000834465027,0.007326007355004549,0,0
0.4699999988079071,0.007842042483389378,0,0
0.47999998927116394,0.007595138158649206,0,0
0.49000000953674316,0.0075800055637955666,0,0
0.5,0.007587571628391743,0,0
0.5099999904632568,0.00733388913795352,0,0
0.5199999809265137,0.007326007355004549,0,0
0.5299999713897705,0.007326007355004549,0,0
0.5400000214576721,0.007326007355004549,0,0
0.550000011920929,0.007326007355004549,0,0
0.5600000023841858,0.007326007355004549,0,0
0.5699999928474426,0.007578744553029537,0,0
0.5799999833106995,0.007596714422106743,0,0
0.5899999737739563,0.007326007355004549,0,0
0.6000000238418579,0.007839993573725224,0,0
0.6100000143051147,0.007849293760955334,0,0
0.6200000047683716,0.0075973449274897575,0,0
0.6299999952316284,0.007326007355004549,0,0
0.6399999856948853,0.007839363068342209,0,0
0.6499999761581421,0.007849293760955334,0,0
0.6600000262260437,0.007587571628391743,0,0
0.6700000166893005,0.0073364111594855785,0,0
0.6800000071525574,0.007577010430395603,0,0
0.6899999976158142,0.007849293760955334,0,0
0.699999988079071,0.007598605938255787,0,0
0.7099999785423279,0.007576537784188986,0,0
0.7200000286102295,0.007587571628391743,0,0
0.7300000190734863,0.007599078584462404,0,0
