Time (s),Voltage (mV),Voltage (V)
0.009999999776482582,0.006279435008764267,0
0.019999999552965164,0.006540988106280565,0
0.029999999329447746,0.006279555149376392,0
0.03999999910593033,0.006279435008764267,0
0.05000000074505806,0.006018061190843582,0
0.05999999865889549,0.006279135588556528,0
0.07000000029802322,0.006279435008764267,0
0.07999999821186066,0.006279435008764267,0
0.09000000357627869,0.006279435008764267,0
0.10000000149011612,0.006279435008764267,0
0.10999999940395355,0.006279435008764267,0
0.11999999731779099,0.006018480751663446,0
0.12999999523162842,0.0065403892658650875,0
0.14000000059604645,0.006279435008764267,0
0.15000000596046448,0.006541107781231403,0
0.1599999964237213,0.006279435008764267,0
0.17000000178813934,0.006279435008764267,0
0.18000000715255737,0.006279435008764267,0
0.1899999976158142,0.006541107781231403,0
0.20000000298023224,0.006541107781231403,0
0.20999999344348907,0.006279435008764267,0
0.2199999988079071,0.006279435008764267,0
0.23000000417232513,0.006279435008764267,0
0.23999999463558197,0.006279435008764267,0
0.25,0.006279435008764267,0
0.25999999046325684,0.006541107781231403,0
0.27000001072883606,0.006279435008764267,0
0.2800000011920929,0.006279435008764267,0
0.28999999165534973,0.006541108246892691,0
0.30000001192092896,0.006800983566790819,0
0.3100000023841858,0.006541048176586628,0
0.3199999928474426,0.00628129206597805,0
0.33000001311302185,0.006279435008764267,0
0.3400000035762787,0.006279435008764267,0
0.3499999940395355,0.006279435008764267,0
0.36000001430511475,0.006279435008764267,0
0.3700000047683716,0.006279435008764267,0
0.3799999952316284,0.0068005044013261795,0
0.38999998569488525,0.0062817116267979145,0
0.4000000059604645,0.006279435008764267,0
0.4099999964237213,0.006279435008764267,0
0.41999998688697815,0.006541107781231403,0
0.4300000071525574,0.006279435008764267,0
0.4399999976158142,0.006017761770635843,0
0.44999998807907104,0.006279435008764267,0
0.46000000834465027,0.006279435008764267,0
0.4699999988079071,0.006017761770635843,0
0.47999998927116394,0.006279435008764267,0
0.49000000953674316,0.006279435008764267,0
0.5,0.006279435008764267,0
0.5099999904632568,0.005759144201874733,0
0.5199999809265137,0.006014706566929817,0
0.5299999713897705,0.006020937114953995,0
0.5400000214576721,0.0062762596644461155,0
0.550000011920929,0.006017761770635843,0
0.5600000023841858,0.006279435008764267,0
0.5699999928474426,0.006279435008764267,0
0.5799999833106995,0.006279435008764267,0
0.5899999737739563,0.006541107781231403,0
0.6000000238418579,0.006279435008764267,0
0.6100000143051147,0.006279435008764267,0
0.6200000047683716,0.006279435008764267,0
0.6299999952316284,0.006279435008764267,0
0.6399999856948853,0.006537273991852999,0
0.6499999761581421,0.006541048176586628,0
0.6600000262260437,0.006283328868448734,0
0.6700000166893005,0.006541107781231403,0
0.6800000071525574,0.006798707414418459,0
0.6899999976158142,0.006283508613705635,0
0.699999988079071,0.006536914501339197,0
0.7099999785423279,0.006283628288656473,0
0.7200000286102295,0.006279435008764267,0
0.7300000190734863,0.006541107781231403,0
0.7400000095367432,0.006279435008764267,0
0.75,0.006541107781231403,0
0.7599999904632568,0.006536555010825396,0
0.7699999809265137,0.006283987779170275,0
0.7799999713897705,0.006279435008764267,0
0.7900000214576721,0.006279435008764267,0
0.800000011920929,0.006279435008764267,0
0.8100000023841858,0.006279435008764267,0
0.8199999928474426,0.006279435008764267,0
0.8299999833106995,0.006279435008764267,0
0.8399999737739563,0.006279435008764267,0
0.8500000238418579,0.006536015775054693,0
0.8600000143051147,0.006284527014940977,0
0.8700000047683716,0.006279435008764267,0
0.8799999952316284,0.006797508802264929,0
0.8899999856948853,0.006284706760197878,0
0.8999999761581421,0.006535716354846954,0
0.9100000262260437,0.00654649967327714,0
0.9200000166893005,0.006541107781231403,0
0.9300000071525574,0.006541107781231403,0
0.9399999976158142,0.0067971497774124146,0
0.949999988079071,0.006802720949053764,0
0.9599999785423279,0.006802720949053764,0
0.9700000286102295,0.006802720949053764,0
0.9800000190734863,0.00628524599596858,0
0.9900000095367432,0.006279435008764267,0
1,0.006541107781231403,0
1.0099999904632568,0.006541107781231403,0
1.0199999809265137,0.006541108246892691,0
1.0299999713897705,0.006279435008764267,0
1.0399999618530273,0.006541107781231403,0
1.0499999523162842,0.006541107781231403,0
1.059999942779541,0.006534757558256388,0
1.0700000524520874,0.006802720949053764,0
1.0800000429153442,0.006285844836384058,0
1.090000033378601,0.006279435008764267,0
1.100000023841858,0.0065345182083547115,0
1.1100000143051147,0.006802720949053764,0
1.1200000047683716,0.0062860846519470215,0
1.1299999952316284,0.006541107781231403,0
1.1399999856948853,0.006279435008764267,0
1.149999976158142,0.006541107781231403,0
1.159999966621399,0.006279435008764267,0
1.1699999570846558,0.006279435008764267,0
1.1799999475479126,0.006279435008764267,0
1.190000057220459,0.006279435008764267,0
1.2000000476837158,0.00679559214040637,0
1.2100000381469727,0.00654829666018486,0
1.2200000286102295,0.006279435008764267,0
1.2300000190734863,0.006795412395149469,0
1.2400000095367432,0.006286803632974625,0
1.25,0.006533619482070208,0
1.2599999904632568,0.006541048176586628,0
1.2699999809265137,0.006802720949053764,0
1.2799999713897705,0.0065487162210047245,0
1.2899999618530273,0.006795052904635668,0
1.2999999523162842,0.006802720949053764,0
1.309999942779541,0.006541048176586628,0
1.3200000524520874,0.006802720949053764,0
1.3300000429153442,0.006549015641212463,0
1.340000033378601,0.006541107781231403,0
1.350000023841858,0.006279435008764267,0
1.3600000143051147,0.006532960571348667,0
1.3700000047683716,0.006802720949053764,0
1.3799999952316284,0.006802720949053764,0
1.3899999856948853,0.006549375131726265,0
1.399999976158142,0.006279435008764267,0
