Time (s),Bz (µT),Voltage (mV)
0.009999999776482582,-24.802608489990234,-0.0036630036775022745
0.019999999552965164,-24.742013931274414,-0.0036630036775022745
0.029999999329447746,-24.73558807373047,-0.0036630036775022745
0.03999999910593033,-24.786693572998047,-0.003662671195343137
0.05000000074505806,-24.703760147094727,-0.0034885748755186796
0.05999999865889549,-24.92685890197754,-0.0034885748755186796
0.07000000029802322,-24.796483993530273,-0.0034891569521278143
0.07999999821186066,-24.9739990234375,-0.0036630036775022745
0.09000000357627869,-25.798423767089844,-0.003662255359813571
0.10000000149011612,-25.300817489624023,-0.0034885748755186796
0.10999999940395355,-25.714284896850586,-0.0034876603167504072
0.11999999731779099,-25.721914291381836,-0.0033141460735350847
0.12999999523162842,-25.154829025268555,-0.0033141460735350847
0.14000000059604645,-24.27623748779297,-0.0033153099939227104
0.15000000596046448,-24.27623748779297,-0.0034898219164460897
0.1599999964237213,-24.721832275390625,-0.0036630036775022745
0.17000000178813934,-24.723941802978516,-0.003661590162664652
0.18000000715255737,-24.29521369934082,-0.0034870782401412725
0.1899999976158142,-24.378149032592773,-0.0033141460735350847
0.20000000298023224,-23.983657836914062,-0.003315808717161417
0.20999999344348907,-24.026832580566406,-0.0034885748755186796
0.2199999988079071,-24.415197372436523,-0.0034885748755186796
0.23000000417232513,-24.89533233642578,-0.0034866626374423504
0.23999999463558197,-24.812397003173828,-0.0033161414321511984
0.25,-24.510028839111328,-0.0034885748755186796
0.25999999046325684,-24.330707550048828,-0.003490736475214362
0.27000001072883606,-24.617815017700195,-0.0036630036775022745
0.2800000011920929,-25.4415340423584,-0.0036630036775022745
0.28999999165534973,-24.114585876464844,-0.0036630036775022745
0.30000001192092896,-24.12201690673828,-0.0036630036775022745
0.3100000023841858,-24.498130798339844,-0.0036630036775022745
0.3199999928474426,-24.802608489990234,-0.0036630036775022745
0.33000001311302185,-24.802608489990234,-0.0036630036775022745
0.3400000035762787,-24.38944435119629,-0.0036630036775022745
0.3499999940395355,-24.51740837097168,-0.0036630036775022745
0.36000001430511475,-24.545522689819336,-0.0036630036775022745
0.3700000047683716,-24.33868980407715,-0.003659927286207676
0.3799999952316284,-24.670425415039062,-0.0034885748755186796
0.38999998569488525,-24.392505645751953,-0.0034885748755186796
0.4000000059604645,-24.168502807617188,-0.003491900395601988
0.4099999964237213,-24.412487030029297,-0.003659594804048538
0.41999998688697815,-25.242080688476562,-0.003485082881525159
0.4300000071525574,-25.407949447631836,-0.0033141460735350847
0.4399999976158142,-25.713380813598633,-0.0033178040757775307
0.44999998807907104,-25.57070541381836,-0.0034923162311315536
0.46000000834465027,-24.9977970123291,-0.003659179201349616
0.4699999988079071,-24.303848266601562,-0.0034885748755186796
0.47999998927116394,-25.13319206237793,-0.0034885748755186796
0.49000000953674316,-25.70911407470703,-0.003496722551062703
0.5,-25.714534759521484,-0.0038415896706283092
0.5099999904632568,-25.291629791259766,-0.004011861514300108
0.5199999809265137,-25.125761032104492,-0.004007537849247456
0.5299999713897705,-25.2769718170166,-0.003828619606792927
0.5400000214576721,-25.442840576171875,-0.003484085202217102
0.550000011920929,-25.159046173095703,-0.0033095732796937227
0.5600000023841858,-24.455007553100586,-0.0031397175043821335
0.5699999928474426,-24.952613830566406,-0.0031397175043821335
0.5799999833106995,-23.774816513061523,-0.0031397175043821335
0.5899999737739563,-24.43558120727539,-0.0031397175043821335
0.6000000238418579,-25.806406021118164,-0.0031447059009224176
0.6100000143051147,-25.96062660217285,-0.0033141460735350847
0.6200000047683716,-25.96062660217285,-0.0033193007111549377
0.6299999952316284,-26.691221237182617,-0.003483337117359042
0.6399999856948853,-26.98641014099121,-0.0033141460735350847
0.6499999761581421,-26.672393798828125,-0.0033087418414652348
0.6600000262260437,-26.174789428710938,-0.0031452046241611242
0.6700000166893005,-26.50050163269043,-0.0033197165466845036
0.6800000071525574,-27.252180099487305,-0.0034942282363772392
0.6899999976158142,-27.712636947631836,-0.003668740391731262
0.699999988079071,-27.553144454956055,-0.0038374324794858694
0.7099999785423279,-27.055538177490234,-0.003843335434794426
0.7200000286102295,-26.254310607910156,-0.004011861514300108
0.7300000190734863,-26.603416442871094,-0.004017930943518877
0.7400000095367432,-25.974884033203125,-0.004180137533694506
0.75,-23.199548721313477,-0.004011861048638821
0.7599999904632568,-24.9411678314209,-0.004011861514300108
0.7699999809265137,-23.903587341308594,-0.004011861514300108
0.7799999713897705,-24.024873733520508,-0.004005376249551773
0.7900000214576721,-25.087556838989258,-0.0038308643270283937
0.800000011920929,-25.309301376342773,-0.0036630036775022745
0.8100000023841858,-24.64582633972168,-0.0036630036775022745
0.8199999928474426,-24.61289405822754,-0.0036630036775022745
0.8299999833106995,-24.37162208557129,-0.003669904312118888
0.8399999737739563,-23.800018310546875,-0.003844416467472911
0.8500000238418579,-23.55121612548828,-0.0040259952656924725
0.8600000143051147,-23.776222229003906,-0.004367868881672621
0.8700000047683716,-23.911767959594727,-0.0045423805713653564
0.8799999952316284,-23.34322738647461,-0.004702259786427021
0.8899999856948853,-22.173011779785156,-0.004527748096734285
0.8999999761581421,-22.91942024230957,-0.004345753695815802
0.9100000262260437,-22.7227783203125,-0.004004295449703932
0.9200000166893005,-22.742456436157227,-0.0038374324794858694
0.9300000071525574,-22.238977432250977,-0.0038451645523309708
0.9399999976158142,-20.441835403442383,-0.004019676707684994
0.949999988079071,-21.35411262512207,-0.004194187931716442
0.9599999785423279,-21.737457275390625,-0.0043607186526060104
0.9700000286102295,-21.811155319213867,-0.004352654330432415
