Time (s),ωy (rad/s),Voltage (mV)
0.009999999776482582,-0.10331287980079651,0.02616315521299839
0.019999999552965164,-0.10226397961378098,0.023550191894173622
0.029999999329447746,-0.1030457392334938,0.026160845533013344
0.03999999910593033,-0.10244207084178925,0.023522919043898582
0.05000000074505806,-1.7344069480895996,0.009430707432329655
0.05999999865889549,-3.2355403900146484,0.014640921726822853
0.07000000029802322,-4.069911956787109,0.010465724393725395
0.07999999821186066,-4.533957004547119,0.01045463141053915
0.09000000357627869,-4.607784271240234,0.007332247216254473
0.10000000149011612,-4.569641590118408,0.008881999179720879
0.10999999940395355,-4.48231840133667,0.00574343791231513
0.11999999731779099,-4.420868396759033,0.0031313977669924498
0.12999999523162842,-4.44276762008667,0.0015698587521910667
0.14000000059604645,-4.556562423706055,0.0015472101513296366
0.15000000596046448,-4.772121906280518,-0.0020931449253112078
0.1599999964237213,-4.930802822113037,-0.0020968427415937185
0.17000000178813934,-4.928154468536377,-0.0026360752526670694
0.18000000715255737,-4.773715972900391,-0.005232862196862698
0.1899999976158142,-4.563122749328613,-0.005250426474958658
0.20000000298023224,-4.378962993621826,-0.007372228894382715
0.20999999344348907,-4.311371326446533,-0.012563723139464855
0.2199999988079071,-4.421444416046143,-0.013143167831003666
0.23000000417232513,-4.704319477081299,-0.01943069137632847
0.23999999463558197,-5.097818851470947,-0.026241963729262352
0.25,-5.497447967529297,-0.03357120603322983
0.25999999046325684,-5.808077812194824,-0.040882423520088196
0.27000001072883606,-5.953138828277588,-0.04669727757573128
0.2800000011920929,-5.886000156402588,-0.05712231993675232
0.28999999165534973,-5.680432319641113,-0.06391464173793793
0.30000001192092896,-5.436595439910889,-0.06957627087831497
0.3100000023841858,-5.150780200958252,-0.06794124096632004
0.3199999928474426,-4.5442376136779785,-0.0615924708545208
0.33000001311302185,-3.724031686782837,-0.05065199360251427
0.3400000035762787,-3.045942544937134,-0.04336204007267952
0.3499999940395355,-2.7255752086639404,-0.03865847364068031
0.36000001430511475,-2.6648006439208984,-0.03438713401556015
0.3700000047683716,-2.5810000896453857,-0.024938169866800308
0.3799999952316284,-2.25787353515625,-0.014005779288709164
0.38999998569488525,-1.7215402126312256,-0.00671258894726634
0.4000000059604645,-1.2602356672286987,-0.0015975917922332883
0.4099999964237213,-1.1184678077697754,-0.003310275264084339
0.41999998688697815,-1.4131962060928345,-0.01270446740090847
0.4300000071525574,-2.0014100074768066,-0.020656604319810867
0.4399999976158142,-2.7838501930236816,-0.033683523535728455
0.44999998807907104,-3.6343722343444824,-0.04353675618767738
0.46000000834465027,-4.434909820556641,-0.04871877282857895
0.4699999988079071,-5.002099514007568,-0.051227740943431854
0.47999998927116394,-5.268057823181152,-0.04852140694856644
0.49000000953674316,-5.231306552886963,-0.041670385748147964
0.5,-4.851048946380615,-0.03274748474359512
0.5099999904632568,-4.073787212371826,-0.02283600904047489
0.5199999809265137,-2.938220500946045,-0.014483767561614513
0.5299999713897705,-1.622503399848938,-0.007203520275652409
0.5400000214576721,-0.39033281803131104,-0.0020307458471506834
0.550000011920929,0.49080559611320496,0.0004978643846698105
0.5600000023841858,0.9198118448257446,-0.0005621123709715903
0.5699999928474426,0.994999349117279,-0.002172183943912387
0.5799999833106995,0.8401699066162109,-0.005299883894622326
0.5899999737739563,0.5699393153190613,-0.00790383480489254
0.6000000238418579,0.20584307610988617,-0.010025637224316597
0.6100000143051147,-0.24457387626171112,-0.013138546608388424
0.6200000047683716,-0.7600449323654175,-0.015347245149314404
0.6299999952316284,-1.3515887260437012,-0.021396497264504433
0.6399999856948853,-2.0135653018951416,-0.019435545429587364
0.6499999761581421,-2.63725209236145,-0.021963000297546387
0.6600000262260437,-3.0821616649627686,-0.021439483389258385
0.6700000166893005,-3.3449883460998535,-0.020807575434446335
0.6800000071525574,-3.4654948711395264,-0.016682296991348267
0.6899999976158142,-3.4336321353912354,-0.014540390111505985
0.699999988079071,-3.1218442916870117,-0.010908123105764389
0.7099999785423279,-2.632063865661621,-0.00827412772923708
0.7200000286102295,-2.134232997894287,-0.005166303366422653
0.7300000190734863,-1.7078768014907837,-0.0031903302296996117
0.7400000095367432,-1.4197874069213867,-0.004692474380135536
0.75,-1.3129557371139526,-0.004134290851652622
0.7599999904632568,-1.4108710289001465,-0.002721816534176469
0.7699999809265137,-1.7252511978149414,-0.0057205576449632645
0.7799999713897705,-2.2165989875793457,-0.00472760247066617
0.7900000214576721,-2.738283395767212,-0.005269377492368221
0.800000011920929,-3.087292432785034,-0.006186991464346647
0.8100000023841858,-3.186781883239746,-0.0035694048274308443
0.8199999928474426,-3.0867905616760254,-0.0010465724626556039
0.8299999833106995,-2.867166519165039,-0.0010082084918394685
0.8399999737739563,-2.532198667526245,0.00009706534910947084
0.8500000238418579,-2.1850478649139404,0.002636075485497713
0.8600000143051147,-1.9541401863098145,0.003119842382147908
0.8700000047683716,-1.859603762626648,0.0025158990174531937
0.8799999952316284,-1.8023386001586914,0.00006101250619394705
0.8899999856948853,-1.7217323780059814,0.0014875843189656734
0.8999999761581421,-1.6140855550765991,-0.0004400873731356114
0.9100000262260437,-1.4879668951034546,0.0015277970815077424
0.9200000166893005,-1.347842812538147,0.0003957146545872092
0.9300000071525574,-1.2032012939453125,-0.0025519519113004208
0.9399999976158142,-1.0844844579696655,-0.0012420897837728262
0.949999988079071,-1.057602047920227,-0.00580005906522274
0.9599999785423279,-1.0894581079483032,-0.006891466677188873
0.9700000286102295,-1.182769775390625,-0.008828612975776196
0.9800000190734863,-1.3185689449310303,-0.0074392505921423435
0.9900000095367432,-1.581308126449585,-0.009805159643292427
1,-1.846661925315857,-0.006895164027810097
1.0099999904632568,-2.124835729598999,-0.00887252390384674
1.0199999809265137,-2.4313199520111084,-0.008349006995558739
1.0299999713897705,-2.7016305923461914,-0.007849293760955334
1.0399999618530273,-2.920475959777832,-0.007897363975644112
1.0499999523162842,-3.1181092262268066,-0.00879880040884018
1.059999942779541,-3.304746150970459,-0.0068517159670591354
1.0700000524520874,-3.499490261077881,-0.007849293760955334
1.0800000429153442,-3.7282493114471436,-0.007874253205955029
1.090000033378601,-3.9347801208496094,-0.008473343215882778
1.100000023841858,-4.084946632385254,-0.01026234868913889
1.1100000143051147,-4.354640483856201,-0.006382047198712826
1.1200000047683716,-4.807265281677246,-0.008398463949561119
1.1299999952316284,-5.309796333312988,-0.008791404776275158
1.1399999856948853,-5.769416809082031,-0.006618297193199396
1.149999976158142,-6.0983076095581055,-0.0030865627340972424
1.159999966621399,-6.239092826843262,-0.0017178255366161466
1.1699999570846558,-6.262153625488281,0.005395099986344576
1.1799999475479126,-6.334646701812744,0.008536203764379025
1.190000057220459,-6.595101833343506,0.011924825608730316
1.2000000476837158,-7.065493106842041,0.019749851897358894
1.2100000381469727,-7.65179443359375,0.027162985876202583
1.2200000286102295,-8.189754486083984,0.036034584045410156
1.2300000190734863,-8.520367622375488,0.04438244178891182
1.2400000095367432,-8.580452919006348,0.052120570093393326
1.25,-8.430243492126465,0.05782148241996765
1.2599999904632568,-8.165571212768555,0.06206722557544708
1.2699999809265137,-7.765425205230713,0.05846130847930908
1.2799999713897705,-7.316819667816162,0.05563664436340332
1.2899999618530273,-6.944281578063965,0.04953331500291824
1.2999999523162842,-6.663852214813232,0.04606172814965248
1.309999942779541,-6.437412261962891,0.0374344103038311
1.3200000524520874,-6.179024696350098,0.03309373930096626
1.3300000429153442,-5.722401142120361,0.026011375710368156
1.340000033378601,-4.9113383293151855,0.014710773713886738
1.350000023841858,-3.763047933578491,0.006826814264059067
1.3600000143051147,-2.4499754905700684,-0.0014237406430765986
1.3700000047683716,-1.167465329170227,-0.007547639776021242
1.3799999952316284,-0.12510515749454498,-0.011148475110530853
1.3899999856948853,0.5925955772399902,-0.013509069569408894
1.399999976158142,0.9937492609024048,-0.011550256051123142
1.409999966621399,0.5010424852371216,-0.004121117293834686
1.4199999570846558,-0.3607122004032135,-0.00281154434196651
1.4299999475479126,-1.01869797706604,0.00206009647808969
1.440000057220459,-1.5219677686691284,0.0018028155900537968
1.4500000476837158,-1.9961341619491577,0.005634990055114031
1.4600000381469727,-2.4333314895629883,0.011276104487478733
1.4700000286102295,-2.8172693252563477,0.007883266545832157
1.4800000190734863,-3.131077289581299,0.0083041712641716
1.4900000095367432,-3.333448886871338,0.007360442541539669
1.5,-3.411848306655884,0.007814628072082996
1.5099999904632568,-3.4144127368927,0.007326007355004549
1.5199999809265137,-3.374584436416626,0.007782676722854376
1.5299999713897705,-3.286362409591675,0.013739774003624916
1.5399999618530273,-3.185345411300659,0.00830139871686697
1.5499999523162842,-3.0737125873565674,0.007326007355004549
1.559999942779541,-3.0215392112731934,0.007253901567310095
1.5700000524520874,-3.140688180923462,0.006533422973006964
1.5800000429153442,-3.4565248489379883,0.010198043659329414
1.590000033378601,-3.9255318641662598,0.013495204038918018
1.600000023841858,-4.440537452697754,0.012072560377418995
1.6100000143051147,-4.848555088043213,0.012744911946356297
1.6200000047683716,-5.047832489013672,0.014950663782656193
1.6299999952316284,-5.067076206207275,0.011884900741279125
1.6399999856948853,-5.005845546722412,0.009980340488255024
1.649999976158142,-4.907355785369873,0.010465724393725395
1.659999966621399,-4.786733627319336,0.010542452335357666
1.6699999570846558,-4.667191505432129,0.011357917450368404
1.6799999475479126,-4.586362361907959,0.0094191525131464
1.690000057220459,-4.559070110321045,0.009380095638334751
1.7000000476837158,-4.585743427276611,0.008817289024591446
1.7100000381469727,-4.641294002532959,0.007770254742354155
1.7200000286102295,-4.688006401062012,0.0067629702389240265
1.7300000190734863,-4.67901611328125,0.006599288433790207
1.7400000095367432,-4.568430423736572,0.010345086455345154
1.75,-4.359196186065674,0.008653202094137669
1.7599999904632568,-4.1318230628967285,0.005756148602813482
1.7699999809265137,-3.9675838947296143,0.005756148602813482
1.7799999713897705,-3.854463815689087,0.005797285586595535
1.7899999618530273,-3.760305404663086,0.006238066591322422
1.7999999523162842,-3.6943047046661377,0.005756148602813482
1.809999942779541,-3.6463332176208496,0.005630657076835632
1.8200000524520874,-3.613278388977051,0.004270413424819708
1.8300000429153442,-3.609910249710083,0.00480993464589119
1.840000033378601,-3.6430249214172363,0.00008504773722961545
1.850000023841858,-3.699108362197876,0.0008327975519932806
1.8600000143051147,-3.7801554203033447,-0.001741803134791553
1.8700000047683716,-3.884775161743164,-0.003533352166414261
1.8799999952316284,-4.007314682006836,-0.0023538346868008375
1.8899999856948853,-4.156054973602295,-0.005189182702451944
1.899999976158142,-4.342543125152588,-0.004797397181391716
1.909999966621399,-4.566877365112305,-0.006153422873467207
1.9199999570846558,-4.8101582527160645,-0.010554470121860504
1.9299999475479126,-5.035472393035889,-0.011601504869759083
1.940000057220459,-5.243836402893066,-0.012648539617657661
1.9500000476837158,-5.423976421356201,-0.013650507666170597
1.9600000381469727,-5.563422203063965,-0.014536404050886631
1.9700000286102295,-5.699738025665283,-0.01902041770517826
1.9800000190734863,-5.885403156280518,-0.021022967994213104
1.9900000095367432,-6.08611536026001,-0.02248391881585121
2,-6.247889041900635,-0.027872834354639053
2.009999990463257,-6.3275837898254395,-0.02948983944952488
2.0199999809265137,-6.294240474700928,-0.03205074742436409
2.0299999713897705,-6.1601243019104,-0.038910843431949615
2.0399999618530273,-5.991466999053955,-0.04095776379108429
2.049999952316284,-5.850114822387695,-0.042623069137334824
2.059999942779541,-5.785459995269775,-0.04538348317146301
2.069999933242798,-5.784322261810303,-0.04952378571033478
2.0799999237060547,-5.8009490966796875,-0.052755773067474365
2.0899999141693115,-5.845592021942139,-0.05199854448437691
2.0999999046325684,-5.948386192321777,-0.054092612117528915
2.109999895095825,-6.1096930503845215,-0.055991627275943756
2.119999885559082,-6.318131446838379,-0.055942632257938385
2.130000114440918,-6.50173807144165,-0.055074531584978104
2.140000104904175,-6.55857515335083,-0.05088639631867409
2.1500000953674316,-6.424924373626709,-0.04635043814778328
2.1600000858306885,-6.082758903503418,-0.03884711116552353
2.1700000762939453,-5.546264171600342,-0.03440822288393974
2.180000066757202,-4.8694167137146,-0.027652878314256668
2.190000057220459,-4.073246479034424,-0.021573122590780258
2.200000047683716,-3.1900954246520996,-0.017384981736540794
2.2100000381469727,-2.2444608211517334,-0.01309469249099493
2.2200000286102295,-1.2541098594665527,-0.007910826243460178
2.2300000190734863,-0.33493632078170776,-0.0035599295515567064
