Time (s),Fᵧ (N),rᵧ (m)
2.569999933242798,-0.31806227564811707,0.003000000026077032
2.5799999237060547,-0.31806227564811707,0.003000000026077032
2.5899999141693115,-0.3275283873081207,0.003000000026077032
2.5999999046325684,-0.3275283873081207,0.003000000026077032
2.609999895095825,-0.3369944989681244,0.003200000151991844
2.619999885559082,-0.3369944989681244,0.0034000002779066563
2.630000114440918,-0.34646061062812805,0.0036000001709908247
2.640000104904175,-0.3559267222881317,0.003800000296905637
2.6500000953674316,-0.34646061062812805,0.004000000189989805
2.6600000858306885,-0.3559267222881317,0.004000000189989805
2.6700000762939453,-0.34646061062812805,0.004000000189989805
2.680000066757202,-0.3559267222881317,0.004000000189989805
2.690000057220459,-0.3559267222881317,0.004000000189989805
2.700000047683716,-0.3559267222881317,0.004000000189989805
2.7100000381469727,-0.3559267222881317,0.004200000315904617
2.7200000286102295,-0.3653928339481354,0.004399999976158142
2.7300000190734863,-0.3559267222881317,0.004599999636411667
2.740000009536743,-0.3559267222881317,0.004800000227987766
2.75,-0.3653928339481354,0.004999999888241291
2.759999990463257,-0.3559267222881317,0.004999999888241291
2.7699999809265137,-0.37485894560813904,0.005200000014156103
2.7799999713897705,-0.37485894560813904,0.005399999674409628
2.7899999618530273,-0.3559267222881317,0.005600000265985727
2.799999952316284,-0.37485894560813904,0.005800000391900539
2.809999942779541,-0.3843250572681427,0.006199999712407589
2.819999933242798,-0.39379116892814636,0.006399999372661114
2.8299999237060547,-0.3843250572681427,0.006599999964237213
2.8399999141693115,-0.39379116892814636,0.006799999624490738
2.8499999046325684,-0.39379116892814636,0.007000000216066837
2.859999895095825,-0.40325728058815,0.007200000341981649
2.869999885559082,-0.40325728058815,0.007600000593811274
2.880000114440918,-0.4127233922481537,0.007999999448657036
2.890000104904175,-0.4127233922481537,0.00839999970048666
2.9000000953674316,-0.42218950390815735,0.008799999952316284
2.9100000858306885,-0.42218950390815735,0.009199999272823334
2.9200000762939453,-0.431655615568161,0.009399999864399433
2.930000066757202,-0.42218950390815735,0.009600000455975533
2.940000057220459,-0.4127233922481537,0.009799999184906483
2.950000047683716,-0.431655615568161,0.010199999436736107
2.9600000381469727,-0.42218950390815735,0.010400000028312206
2.9700000286102295,-0.42218950390815735,0.010599999688565731
2.9800000190734863,-0.431655615568161,0.010799999348819256
2.990000009536743,-0.431655615568161,0.011200000531971455
3,-0.4411217272281647,0.011400001123547554
3.009999990463257,-0.431655615568161,0.011600000783801079
3.0199999809265137,-0.431655615568161,0.011800000444054604
3.0299999713897705,-0.431655615568161,0.012000000104308128
3.0399999618530273,-0.4411217272281647,0.012000000104308128
3.049999952316284,-0.4411217272281647,0.012000000104308128
3.059999942779541,-0.431655615568161,0.012199999764561653
3.069999933242798,-0.4411217272281647,0.012399999424815178
3.0799999237060547,-0.45058783888816833,0.012600000016391277
3.0899999141693115,-0.45058783888816833,0.012800000607967377
3.0999999046325684,-0.431655615568161,0.013199999928474426
3.109999895095825,-0.45058783888816833,0.013400000520050526
3.119999885559082,-0.45058783888816833,0.013599999248981476
3.130000114440918,-0.46952006220817566,0.013799999840557575
3.140000104904175,-0.45058783888816833,0.0142000000923872
3.1500000953674316,-0.460053950548172,0.014400000683963299
3.1600000858306885,-0.46952006220817566,0.014599999412894249
3.1700000762939453,-0.46952006220817566,0.014800000004470348
3.180000066757202,-0.46952006220817566,0.015199999324977398
3.190000057220459,-0.46952006220817566,0.015399999916553497
3.200000047683716,-0.4789861738681793,0.015600000508129597
3.2100000381469727,-0.4789861738681793,0.015800001099705696
3.2200000286102295,-0.4789861738681793,0.01600000075995922
3.2300000190734863,-0.49791836738586426,0.01600000075995922
3.240000009536743,-0.488452285528183,0.01600000075995922
3.25,-0.488452285528183,0.016200000420212746
3.259999990463257,-0.488452285528183,0.01640000008046627
3.2699999809265137,-0.488452285528183,0.016600001603364944
3.2799999713897705,-0.5073844790458679,0.01680000126361847
